agent,is_murderer,utterance_count,speaker_share,word_count,word_share,disfluency_count,disfluency_per_utterance,question_count,questions_received,mentions_received,attention_received
Harold Chun,False,13,0.14772727272727273,225,0.1431297709923664,0,0.0,12,4,6,10
Bobby Herrerra,False,19,0.2159090909090909,355,0.22582697201017812,0,0.0,11,10,17,27
Pauline Thompson,False,16,0.18181818181818182,266,0.1692111959287532,0,0.0,10,7,15,22
Louis Cagliostro,False,8,0.09090909090909091,143,0.09096692111959287,0,0.0,5,4,4,8
Tim Kane,True,7,0.07954545454545454,150,0.09541984732824428,1,0.14285714285714285,0,6,6,12
Margaret Chun,False,17,0.19318181818181818,299,0.19020356234096691,0,0.0,5,14,20,34
Fiona McAllister,False,7,0.07954545454545454,124,0.07888040712468193,0,0.0,4,2,6,8
