agent,is_murderer,utterance_count,speaker_share,word_count,word_share,question_count,questions_received,mentions_received,attention_received
Harold Chun,False,3,0.03409090909090909,106,0.02726337448559671,2,0,0,0
Bobby Herrerra,False,8,0.09090909090909091,299,0.07690329218106996,7,2,3,5
Pauline Thompson,False,26,0.29545454545454547,1233,0.31712962962962965,21,14,31,45
Louis Cagliostro,False,2,0.022727272727272728,66,0.016975308641975308,1,0,0,0
Tim Kane,True,17,0.19318181818181818,724,0.18621399176954734,15,3,5,8
Margaret Chun,False,4,0.045454545454545456,152,0.03909465020576132,3,0,1,1
Fiona McAllister,False,27,0.3068181818181818,1298,0.3338477366255144,23,17,26,43
