agent,is_murderer,utterance_count,speaker_share,word_count,word_share,disfluency_count,disfluency_per_utterance,question_count,questions_received,mentions_received,attention_received
Harold Chun,False,14,0.1590909090909091,240,0.13114754098360656,0,0.0,12,2,4,6
Bobby Herrerra,False,17,0.19318181818181818,441,0.24098360655737705,0,0.0,5,13,15,28
Pauline Thompson,False,15,0.17045454545454544,269,0.1469945355191257,0,0.0,10,6,6,12
Louis Cagliostro,False,8,0.09090909090909091,162,0.08852459016393442,0,0.0,4,3,3,6
Tim Kane,True,15,0.17045454545454544,393,0.21475409836065573,0,0.0,1,14,14,28
Margaret Chun,False,8,0.09090909090909091,124,0.06775956284153005,0,0.0,6,3,3,6
Fiona McAllister,False,10,0.11363636363636363,191,0.10437158469945355,0,0.0,7,4,5,9
