agent,is_murderer,utterance_count,speaker_share,word_count,word_share,question_count,questions_received,mentions_received,attention_received
Harold Chun,False,12,0.13636363636363635,596,0.14948582894406823,11,2,4,6
Bobby Herrerra,False,8,0.09090909090909091,308,0.07725106596438425,7,0,0,0
Pauline Thompson,False,10,0.11363636363636363,435,0.109104589917231,6,6,33,39
Louis Cagliostro,False,2,0.022727272727272728,65,0.016302984700275896,1,0,0,0
Tim Kane,True,12,0.13636363636363635,560,0.14045648357160773,11,0,0,0
Margaret Chun,False,31,0.3522727272727273,1517,0.3804865813895159,24,27,36,63
Fiona McAllister,False,12,0.13636363636363635,496,0.12440431402056684,11,7,27,34
