agent,is_murderer,utterance_count,speaker_share,word_count,word_share,question_count,questions_received,mentions_received,attention_received
Harold Chun,False,17,0.19318181818181818,764,0.19000248694354638,16,6,8,14
Bobby Herrerra,False,7,0.07954545454545454,299,0.07435961203680676,6,1,4,5
Pauline Thompson,False,4,0.045454545454545456,150,0.03730415319572246,2,1,6,7
Louis Cagliostro,False,31,0.3522727272727273,1628,0.40487440935090774,28,27,33,60
Tim Kane,True,17,0.19318181818181818,764,0.19000248694354638,15,2,4,6
Margaret Chun,False,6,0.06818181818181818,227,0.05645361850285999,5,0,0,0
Fiona McAllister,False,5,0.056818181818181816,179,0.0445162894802288,4,2,5,7
