backend,condition_description,condition_dir,condition_name,config_fingerprint,deception_labeling_mode,experiment_name,factor__memory_mode,factor__protocol_profile,factor__protocol_strictness,factor__temperature_bucket,final_ready_runs_per_condition,interim_ready_runs_per_condition,max_round_gate_conversations,memory_version,min_round_gate_conversations,model_name,pilot_ready_runs_per_condition,prompt_version,replicates,scenario_id,seed,stage_gate_policy,temperature,turn_policy_version
local,protocol_strictness=Default dialogue protocol.; memory_mode=Current default memory policy.,outputs/thesis-condition-matrix-generated/conditions/baseline__three-stage-v1,baseline__three-stage-v1,,heuristic,thesis-condition-matrix-generated,three-stage-v1,baseline,baseline,,20,10,,three-stage-v1,,local_llm,3,thesis-pilot-v1,3,business-of-murder-v1,4242,,0.7,top2-selective-silence-v1
local,protocol_strictness=Default dialogue protocol.; memory_mode=Same memory policy with reduced temperature.,outputs/thesis-condition-matrix-generated/conditions/baseline__three-stage-v1-low-temp,baseline__three-stage-v1-low-temp,,heuristic,thesis-condition-matrix-generated,three-stage-v1-low-temp,baseline,baseline,low,20,10,,three-stage-v1,,local_llm,3,thesis-pilot-v1,3,business-of-murder-v1,4242,,0.3,top2-selective-silence-v1
local,protocol_strictness=More conversations per round.; memory_mode=Current default memory policy.,outputs/thesis-condition-matrix-generated/conditions/extended__three-stage-v1,extended__three-stage-v1,,heuristic,thesis-condition-matrix-generated,three-stage-v1,extended-discussion,extended,,20,10,,three-stage-v1,,local_llm,3,thesis-pilot-v1,3,business-of-murder-v1,4242,,0.7,top2-selective-silence-v1
local,protocol_strictness=More conversations per round.; memory_mode=Same memory policy with reduced temperature.,outputs/thesis-condition-matrix-generated/conditions/extended__three-stage-v1-low-temp,extended__three-stage-v1-low-temp,,heuristic,thesis-condition-matrix-generated,three-stage-v1-low-temp,extended-discussion,extended,low,20,10,,three-stage-v1,,local_llm,3,thesis-pilot-v1,3,business-of-murder-v1,4242,,0.3,top2-selective-silence-v1
